2023-10-19 23:18:32,862 - INFO - Frame 1: Num_Contours=154, Percentage_outliers=0.65, Concentration=30.39, Pancake_no=8, Brash_no=17, Frazil_no=74, Pancake_area=21.56, Brash_area=23.92, Frazil_area=28.31, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,872 - INFO - Frame 2: Num_Contours=150, Percentage_outliers=0.67, Concentration=28.91, Pancake_no=7, Brash_no=18, Frazil_no=68, Pancake_area=17.91, Brash_area=24.8, Frazil_area=27.18, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,880 - INFO - Frame 3: Num_Contours=140, Percentage_outliers=1.43, Concentration=33.65, Pancake_no=10, Brash_no=15, Frazil_no=65, Pancake_area=32.25, Brash_area=20.31, Frazil_area=23.65, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,888 - INFO - Frame 4: Num_Contours=145, Percentage_outliers=2.07, Concentration=26.56, Pancake_no=4, Brash_no=19, Frazil_no=74, Pancake_area=10.35, Brash_area=25.3, Frazil_area=30.45, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,896 - INFO - Frame 5: Num_Contours=144, Percentage_outliers=2.78, Concentration=19.91, Pancake_no=0, Brash_no=14, Frazil_no=77, Pancake_area=0, Brash_area=18.5, Frazil_area=30.2, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,903 - INFO - Frame 6: Num_Contours=137, Percentage_outliers=2.92, Concentration=20.0, Pancake_no=0, Brash_no=14, Frazil_no=77, Pancake_area=0, Brash_area=19.13, Frazil_area=30.14, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,909 - INFO - Frame 7: Num_Contours=142, Percentage_outliers=2.11, Concentration=21.09, Pancake_no=0, Brash_no=16, Frazil_no=79, Pancake_area=0, Brash_area=21.92, Frazil_area=30.81, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,915 - INFO - Frame 8: Num_Contours=135, Percentage_outliers=2.96, Concentration=15.9, Pancake_no=0, Brash_no=8, Frazil_no=72, Pancake_area=0, Brash_area=10.82, Frazil_area=27.43, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,922 - INFO - Frame 9: Num_Contours=101, Percentage_outliers=2.97, Concentration=9.94, Pancake_no=0, Brash_no=6, Frazil_no=45, Pancake_area=0, Brash_area=6.78, Frazil_area=16.84, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,928 - INFO - Frame 10: Num_Contours=84, Percentage_outliers=2.38, Concentration=9.21, Pancake_no=0, Brash_no=7, Frazil_no=39, Pancake_area=0, Brash_area=8.18, Frazil_area=14.12, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,934 - INFO - Frame 11: Num_Contours=102, Percentage_outliers=2.94, Concentration=10.7, Pancake_no=0, Brash_no=8, Frazil_no=45, Pancake_area=0, Brash_area=9.77, Frazil_area=16.08, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,940 - INFO - Frame 12: Num_Contours=135, Percentage_outliers=1.48, Concentration=21.26, Pancake_no=3, Brash_no=10, Frazil_no=74, Pancake_area=7.06, Brash_area=14.91, Frazil_area=30.55, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,948 - INFO - Frame 13: Num_Contours=147, Percentage_outliers=1.36, Concentration=26.26, Pancake_no=6, Brash_no=14, Frazil_no=74, Pancake_area=14.0, Brash_area=18.71, Frazil_area=31.74, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,955 - INFO - Frame 14: Num_Contours=143, Percentage_outliers=2.1, Concentration=25.8, Pancake_no=5, Brash_no=14, Frazil_no=75, Pancake_area=12.68, Brash_area=18.57, Frazil_area=31.2, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,961 - INFO - Frame 15: Num_Contours=144, Percentage_outliers=1.39, Concentration=25.02, Pancake_no=6, Brash_no=11, Frazil_no=72, Pancake_area=14.76, Brash_area=15.27, Frazil_area=30.93, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,968 - INFO - Frame 16: Num_Contours=134, Percentage_outliers=2.99, Concentration=18.37, Pancake_no=3, Brash_no=9, Frazil_no=65, Pancake_area=6.53, Brash_area=11.6, Frazil_area=26.21, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,975 - INFO - Frame 17: Num_Contours=133, Percentage_outliers=3.01, Concentration=18.51, Pancake_no=2, Brash_no=10, Frazil_no=67, Pancake_area=4.44, Brash_area=13.92, Frazil_area=26.6, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,981 - INFO - Frame 18: Num_Contours=134, Percentage_outliers=2.24, Concentration=20.89, Pancake_no=5, Brash_no=9, Frazil_no=66, Pancake_area=12.09, Brash_area=12.61, Frazil_area=26.22, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:32,987 - INFO - Frame 19: Num_Contours=126, Percentage_outliers=3.17, Concentration=17.77, Pancake_no=3, Brash_no=8, Frazil_no=63, Pancake_area=6.83, Brash_area=11.39, Frazil_area=25.03, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
